id,x,y,pupilD
6884675,981.3,579.6,319.0
6884677,981.9,580.5,320.0
6884679,982.3,580.7,318.0
6884681,982.7,580.6,317.0
6884683,981.0,581.1,318.0
6884685,981.7,580.6,320.0
6884687,981.7,578.4,321.0
6884689,980.5,576.4,320.0
6884691,982.2,579.1,318.0
6884693,982.7,578.4,319.0
6884695,981.4,577.9,319.0
6884697,981.8,578.4,320.0
6884699,983.2,578.5,320.0
6884701,983.7,578.9,320.0
6884703,983.9,581.0,321.0
6884705,984.4,582.6,323.0
6884707,985.0,582.2,323.0
6884709,984.5,582.1,323.0
6884711,984.3,582.0,323.0
6884713,985.2,581.9,324.0
6884715,986.7,583.0,323.0
6884717,987.7,583.9,323.0
6884719,987.6,584.5,323.0
6884721,988.5,585.0,324.0
6884723,989.9,586.5,325.0
6884725,991.0,589.2,326.0
6884727,991.3,584.2,325.0
6884729,991.7,586.8,324.0
6884731,991.8,588.0,326.0
6884733,992.1,586.6,329.0
6884735,992.5,585.1,328.0
6884737,992.5,584.4,327.0
6884739,993.5,582.7,327.0
6884741,994.9,586.1,328.0
6884743,994.9,583.8,327.0
6884745,992.9,581.7,326.0
6884747,992.7,582.2,326.0
6884749,993.4,580.5,326.0
6884751,993.1,577.8,326.0
6884753,991.9,577.6,326.0
6884755,991.6,577.7,325.0
6884757,991.4,575.4,325.0
6884759,991.7,570.0,325.0
6884761,992.6,570.1,327.0
6884763,993.0,572.4,328.0
6884765,993.0,572.8,327.0
6884767,993.0,571.3,327.0
6884769,993.0,571.4,328.0
6884771,992.6,571.3,329.0
6884773,992.4,571.2,329.0
6884775,992.3,571.2,329.0
6884777,992.4,574.8,329.0
6884779,992.8,574.4,327.0
6884781,993.0,570.4,328.0
6884783,993.1,570.6,329.0
6884785,993.2,570.8,328.0
6884787,993.3,572.1,329.0
6884789,993.3,573.0,329.0
6884791,992.7,573.4,329.0
6884793,993.1,574.7,329.0
6884795,992.6,574.2,330.0
6884797,991.5,571.1,329.0
6884799,991.5,570.5,328.0
6884801,992.4,570.2,328.0
6884803,992.9,570.2,328.0
6884805,991.9,570.7,328.0
6884807,991.4,571.3,329.0
6884809,993.0,570.8,329.0
6884811,993.3,571.3,329.0
6884813,993.2,571.8,329.0
6884815,992.4,571.7,328.0
6884817,992.5,571.7,328.0
6884819,991.1,571.7,328.0
6884821,993.1,572.7,329.0
6884823,994.0,571.2,331.0
6884825,992.9,570.8,330.0
6884827,991.6,571.9,331.0
6884829,992.1,574.7,332.0
6884831,992.7,576.6,333.0
6884833,992.9,577.1,333.0
6884835,993.2,575.8,334.0
6884837,992.1,576.7,334.0
6884839,992.9,579.0,334.0
6884841,994.6,581.2,334.0
6884843,994.9,581.1,335.0
6884845,994.8,582.1,335.0
6884847,994.4,582.5,333.0
6884849,993.7,581.7,335.0
6884851,993.4,581.2,335.0
6884853,993.3,581.7,334.0
6884855,993.8,581.3,333.0
6884857,993.3,579.1,334.0
6884859,992.4,578.7,334.0
6884861,991.7,579.6,333.0
6884863,991.0,577.4,332.0
6884865,991.0,577.1,332.0
6884867,990.9,576.8,333.0
6884869,989.7,576.1,332.0
6884871,986.9,575.0,333.0
6884873,986.0,572.5,332.0
6884875,986.0,570.1,332.0
6884877,986.1,570.3,332.0
6884879,985.7,569.5,332.0
6884881,985.7,567.6,332.0
6884883,984.7,567.1,332.0
6884885,983.4,567.8,330.0
6884887,984.0,567.8,330.0
6884889,985.7,567.6,331.0
6884891,984.4,566.8,331.0
6884893,982.7,567.3,329.0
6884895,981.8,567.6,328.0
6884897,981.0,567.3,328.0
6884899,982.9,567.4,328.0
6884901,983.0,568.3,328.0
6884903,982.6,569.0,328.0
6884905,981.8,567.8,326.0
6884907,981.7,567.3,326.0
6884909,982.3,568.3,327.0
6884911,984.8,568.0,329.0
6884913,986.7,568.0,329.0
6884915,986.2,568.3,329.0
6884917,986.2,570.2,329.0
6884919,986.1,570.6,329.0
6884921,986.2,567.9,329.0
6884923,986.7,568.9,329.0
6884925,987.0,569.1,330.0
6884927,986.7,569.6,330.0
6884929,984.0,570.3,329.0
6884931,984.6,571.3,330.0
6884933,986.0,570.1,331.0
6884935,985.9,568.1,331.0
6884937,985.2,567.9,331.0
6884939,985.3,567.8,331.0
6884941,985.6,568.4,331.0
6884943,985.3,569.2,331.0
6884945,984.5,570.6,332.0
6884947,983.7,570.4,331.0
6884949,983.6,568.6,332.0
6884951,983.1,567.5,332.0
6884953,982.8,567.9,332.0
6884955,983.6,568.6,331.0
6884957,985.9,568.9,331.0
6884959,985.2,570.2,331.0
6884961,986.1,572.5,331.0
6884963,986.6,570.2,332.0
6884965,987.1,569.2,332.0
6884967,987.6,567.7,335.0
6884969,987.6,565.4,335.0
6884971,988.2,563.7,333.0
6884973,989.0,563.7,335.0
6884975,989.6,560.4,334.0
6884977,990.7,558.8,333.0
6884979,990.1,557.9,335.0
6884981,989.1,557.2,335.0
6884983,989.1,557.6,335.0
6884985,990.6,559.0,337.0
6884987,992.7,559.8,337.0
6884989,994.1,561.3,337.0
6884991,994.7,562.9,337.0
6884993,993.3,561.8,337.0
6884995,993.4,560.9,337.0
6884997,994.4,560.7,336.0
6884999,992.9,560.4,336.0
6885001,992.9,560.4,336.0
6885003,993.0,563.3,336.0
6885005,994.3,567.0,338.0
6885007,995.7,570.7,340.0
6885009,995.8,571.0,340.0
6885011,995.4,570.2,339.0
6885013,995.6,568.6,336.0
6885015,994.7,567.0,334.0
6885017,992.6,569.0,334.0
6885019,991.6,569.6,332.0
6885021,988.9,569.4,331.0
6885023,986.7,569.0,330.0
6885025,989.0,569.8,329.0
6885027,994.5,573.4,330.0
6885029,996.0,573.6,333.0
6885031,993.6,571.5,334.0
6885033,988.8,568.7,335.0
6885035,988.1,569.7,335.0
6885037,985.0,571.7,334.0
6885039,982.2,589.6,330.0
6885041,985.4,626.3,324.0
6885043,992.8,679.4,313.0
6885045,999.3,748.3,301.0
6885047,1005.4,822.0,288.0
6885049,1007.9,878.8,276.0
6885051,1007.6,886.6,274.0
6885053,.,.,0.0
6885055,.,.,0.0
6885057,.,.,0.0
6885059,.,.,0.0
6885061,.,.,0.0
6885063,.,.,0.0
6885065,.,.,0.0
6885067,.,.,0.0
6885069,.,.,0.0
6885071,.,.,0.0
6885073,.,.,0.0
6885075,.,.,0.0
6885077,.,.,0.0
6885079,.,.,0.0
6885081,.,.,0.0
6885083,.,.,0.0
6885085,.,.,0.0
6885087,.,.,0.0
6885089,.,.,0.0
6885091,.,.,0.0
6885093,.,.,0.0
6885095,.,.,0.0
6885097,.,.,0.0
6885099,.,.,0.0
6885101,.,.,0.0
6885103,.,.,0.0
6885105,.,.,0.0
6885107,.,.,0.0
6885109,.,.,0.0
6885111,.,.,0.0
6885113,.,.,0.0
6885115,.,.,0.0
6885117,.,.,0.0
6885119,.,.,0.0
6885121,.,.,0.0
6885123,.,.,0.0
6885125,.,.,0.0
6885127,.,.,0.0
6885129,.,.,0.0
6885131,.,.,0.0
6885133,.,.,0.0
6885135,.,.,0.0
6885137,.,.,0.0
6885139,.,.,0.0
6885141,.,.,0.0
6885143,.,.,0.0
6885145,.,.,0.0
6885147,.,.,0.0
6885149,.,.,0.0
6885151,.,.,0.0
6885153,.,.,0.0
6885155,.,.,0.0
6885157,.,.,0.0
6885159,.,.,0.0
6885161,.,.,0.0
6885163,.,.,0.0
6885165,.,.,0.0
6885167,.,.,0.0
6885169,.,.,0.0
6885171,.,.,0.0
6885173,.,.,0.0
6885175,.,.,0.0
6885177,.,.,0.0
6885179,.,.,0.0
6885181,.,.,0.0
6885183,.,.,0.0
6885185,.,.,0.0
6885187,.,.,0.0
6885189,.,.,0.0
6885191,.,.,0.0
6885193,.,.,0.0
6885195,.,.,0.0
6885197,.,.,0.0
6885199,.,.,0.0
6885201,.,.,0.0
6885203,.,.,0.0
6885205,.,.,0.0
6885207,.,.,0.0
6885209,.,.,0.0
6885211,.,.,0.0
6885213,.,.,0.0
6885215,.,.,0.0
6885217,.,.,0.0
6885219,.,.,0.0
6885221,.,.,0.0
6885223,.,.,0.0
6885225,.,.,0.0
6885227,.,.,0.0
6885229,.,.,0.0
6885231,.,.,0.0
6885233,.,.,0.0
6885235,.,.,0.0
6885237,.,.,0.0
6885239,.,.,0.0
6885241,.,.,0.0
6885243,.,.,0.0
6885245,.,.,0.0
6885247,.,.,0.0
6885249,.,.,0.0
6885251,.,.,0.0
6885253,.,.,0.0
6885255,823.4,907.6,271.0
6885257,825.2,895.6,275.0
6885259,831.0,856.5,282.0
6885261,840.5,813.8,292.0
6885263,847.0,772.2,302.0
6885265,846.2,732.0,311.0
6885267,845.3,701.1,320.0
6885269,846.5,673.1,329.0
6885271,849.3,650.5,337.0
6885273,853.2,621.5,344.0
6885275,850.1,592.9,348.0
6885277,846.3,567.5,350.0
6885279,843.2,539.8,356.0
6885281,841.3,526.6,365.0
6885283,838.3,508.2,369.0
6885285,832.8,483.6,372.0
6885287,830.9,472.9,375.0
6885289,831.6,472.3,381.0
6885291,832.7,473.6,384.0
6885293,833.4,472.3,385.0
6885295,837.2,475.3,387.0
6885297,841.2,481.6,388.0
6885299,842.6,485.4,390.0
6885301,843.8,489.9,394.0
6885303,845.3,490.4,393.0
6885305,846.5,489.8,394.0
6885307,846.8,493.6,396.0
6885309,846.2,495.7,396.0
6885311,846.1,494.2,396.0
6885313,847.0,493.1,396.0
6885315,847.6,491.2,397.0
6885317,847.9,492.1,396.0
6885319,848.2,494.4,396.0
6885321,848.1,494.6,395.0
6885323,847.5,494.3,394.0
6885325,847.4,493.5,395.0
6885327,844.3,489.9,394.0
6885329,842.6,489.0,392.0
6885331,841.9,489.3,390.0
6885333,840.0,488.8,389.0
6885335,839.3,485.5,388.0
6885337,838.8,484.4,388.0
6885339,838.7,486.2,389.0
6885341,838.4,487.4,389.0
6885343,838.5,487.5,389.0
6885345,839.2,488.8,390.0
6885347,838.9,491.4,390.0
6885349,838.1,492.8,389.0
6885351,837.9,492.6,388.0
6885353,838.3,489.8,388.0
6885355,838.7,487.0,387.0
6885357,839.0,486.7,387.0
6885359,839.1,487.7,386.0
6885361,838.9,485.9,386.0
6885363,837.6,485.7,386.0
6885365,836.3,487.1,385.0
6885367,834.4,485.1,385.0
6885369,833.9,485.5,387.0
6885371,834.6,488.1,387.0
6885373,835.5,489.2,387.0
6885375,835.7,490.5,387.0
6885377,835.8,489.7,387.0
6885379,836.3,489.3,385.0
6885381,836.5,488.5,384.0
6885383,836.7,488.7,385.0
6885385,838.0,489.7,387.0
6885387,839.9,490.2,387.0
6885389,840.5,489.4,387.0
6885391,840.3,488.9,387.0
6885393,840.0,490.7,387.0
6885395,841.1,491.5,387.0
6885397,842.0,491.2,387.0
6885399,839.9,490.4,387.0
6885401,838.6,489.0,386.0
6885403,838.0,487.6,387.0
6885405,838.0,487.0,388.0
6885407,835.0,486.0,388.0
6885409,835.1,486.3,387.0
6885411,834.4,488.3,387.0
6885413,832.4,488.8,387.0
6885415,829.4,487.2,387.0
6885417,830.0,487.5,387.0
6885419,830.4,488.7,386.0
6885421,828.4,489.1,388.0
6885423,826.9,490.0,389.0
6885425,825.9,488.4,388.0
6885427,826.1,488.2,388.0
6885429,826.0,489.0,388.0
6885431,825.5,490.4,389.0
6885433,824.5,491.9,389.0
6885435,823.9,492.0,389.0
6885437,823.8,491.4,388.0
6885439,823.6,489.9,388.0
6885441,823.7,490.3,388.0
6885443,824.1,492.3,388.0
6885445,824.4,493.0,388.0
6885447,825.3,493.8,389.0
6885449,826.0,493.7,389.0
6885451,826.4,494.9,389.0
6885453,826.0,495.0,389.0
6885455,824.9,491.6,389.0
6885457,824.1,488.9,387.0
6885459,824.9,487.5,386.0
6885461,827.4,487.2,386.0
6885463,831.4,490.8,387.0
6885465,837.8,496.7,390.0
6885467,840.2,506.0,391.0
6885469,833.6,511.5,392.0
6885471,805.4,512.3,393.0
6885473,773.3,508.4,397.0
6885475,748.5,504.9,396.0
6885477,720.2,505.6,395.0
6885479,707.0,506.2,401.0
6885481,702.9,509.7,403.0
6885483,700.0,517.0,403.0
6885485,690.8,518.6,402.0
6885487,677.8,517.0,400.0
6885489,671.9,518.2,400.0
6885491,669.0,519.8,403.0
6885493,668.6,518.1,403.0
6885495,669.1,516.7,402.0
6885497,670.3,517.8,402.0
6885499,671.9,519.6,402.0
6885501,672.8,521.2,402.0
6885503,670.5,519.0,401.0
6885505,670.0,517.7,400.0
6885507,671.2,516.3,399.0
6885509,670.8,514.6,399.0
6885511,669.5,514.4,399.0
6885513,668.9,514.0,397.0
6885515,668.2,513.5,396.0
6885517,667.4,512.5,396.0
6885519,666.5,511.7,395.0
6885521,665.9,511.7,395.0
6885523,667.6,514.5,396.0
6885525,669.7,517.2,395.0
6885527,668.3,515.9,393.0
6885529,666.6,513.4,393.0
6885531,667.1,513.1,391.0
6885533,667.4,513.0,391.0
6885535,668.6,514.5,389.0
6885537,669.6,516.6,389.0
6885539,668.5,515.3,388.0
6885541,668.3,515.0,387.0
6885543,669.3,516.5,385.0
6885545,670.7,516.4,385.0
6885547,670.9,515.7,383.0
6885549,670.7,515.5,380.0
6885551,671.9,516.0,378.0
6885553,673.9,516.9,378.0
6885555,674.4,514.9,378.0
6885557,674.5,516.7,378.0
6885559,675.7,519.2,378.0
6885561,675.8,520.8,376.0
6885563,674.9,520.6,376.0
6885565,677.2,520.4,376.0
6885567,678.9,522.2,376.0
6885569,677.0,522.8,375.0
6885571,677.1,523.8,374.0
6885573,677.9,524.3,370.0
6885575,679.1,525.0,370.0
6885577,680.8,527.2,368.0
6885579,680.0,528.5,367.0
6885581,679.9,529.3,364.0
6885583,681.2,531.4,362.0
6885585,681.6,533.7,363.0
6885587,681.8,535.6,363.0
6885589,683.2,536.1,362.0
6885591,683.8,537.5,362.0
6885593,685.7,539.3,362.0
6885595,689.0,539.9,361.0
6885597,687.9,540.3,360.0
6885599,688.0,539.4,358.0
6885601,688.7,536.0,356.0
6885603,690.0,536.1,356.0
6885605,691.5,536.6,355.0
6885607,689.9,534.2,352.0
6885609,690.2,535.0,350.0
6885611,690.3,533.0,348.0
6885613,692.7,531.0,348.0
6885615,695.0,531.3,346.0
6885617,695.7,531.7,344.0
6885619,696.5,531.8,344.0
6885621,697.3,532.6,345.0
6885623,699.5,532.9,345.0
6885625,701.3,531.6,344.0
6885627,701.9,532.9,343.0
6885629,702.3,531.6,343.0
6885631,702.7,528.0,343.0
6885633,703.5,530.0,341.0
6885635,704.1,534.2,340.0
6885637,703.8,532.0,339.0
6885639,703.6,530.4,338.0
6885641,704.5,532.3,339.0
6885643,704.4,531.4,339.0
6885645,703.7,530.4,336.0
6885647,706.1,533.8,333.0
6885649,707.3,537.5,333.0
6885651,705.9,537.9,332.0
6885653,704.1,535.9,331.0
6885655,704.8,538.3,330.0
6885657,704.2,540.3,329.0
6885659,703.0,539.0,328.0
6885661,702.6,538.1,325.0
6885663,702.6,540.4,323.0
6885665,701.7,540.6,322.0
6885667,699.3,538.1,320.0
6885669,699.2,538.5,318.0
6885671,698.3,539.7,318.0
6885673,696.6,540.6,318.0
6885675,696.5,543.4,318.0
6885677,696.9,547.0,318.0
6885679,697.5,549.3,319.0
6885681,696.9,549.2,319.0
6885683,696.4,548.9,319.0
6885685,695.5,549.9,319.0
6885687,694.9,551.3,320.0
6885689,695.4,553.6,320.0
6885691,697.6,555.7,319.0
6885693,698.0,555.9,318.0
6885695,696.6,556.0,317.0
6885697,696.4,556.6,316.0
6885699,696.6,557.0,316.0
6885701,696.6,557.1,316.0
6885703,696.6,556.7,316.0
6885705,696.3,556.2,314.0
6885707,696.0,553.8,311.0
6885709,703.4,552.1,308.0
6885711,722.4,553.3,309.0
6885713,736.4,557.2,312.0
6885715,768.3,564.0,311.0
6885717,807.7,564.4,312.0
6885719,833.8,565.5,307.0
6885721,854.0,572.1,306.0
6885723,890.9,574.3,306.0
6885725,921.8,570.3,301.0
6885727,951.6,575.2,300.0
6885729,992.1,587.2,301.0
6885731,1031.9,589.5,298.0
6885733,1060.5,589.8,297.0
6885735,1084.8,596.5,297.0
6885737,1110.9,602.6,295.0
6885739,1145.1,600.1,292.0
6885741,1164.3,598.9,292.0
6885743,1176.9,598.2,291.0
6885745,1185.5,598.3,291.0
6885747,1186.1,599.5,291.0
6885749,1183.0,600.5,291.0
6885751,1179.2,597.8,292.0
6885753,1176.1,596.0,291.0
6885755,1175.4,595.6,290.0
6885757,1177.2,595.9,288.0
6885759,1182.8,594.8,287.0
6885761,1186.7,593.0,287.0
6885763,1189.1,592.5,286.0
6885765,1189.6,589.8,285.0
6885767,1188.5,589.0,284.0
6885769,1185.9,589.4,284.0
6885771,1187.5,591.1,282.0
6885773,1183.6,592.0,282.0
6885775,1182.2,592.4,284.0
6885777,1184.4,592.0,284.0
6885779,1184.9,592.2,284.0
6885781,1182.3,593.2,285.0
