x,y,pupilD
966.5400000000002,533.29,426.3
966.7300000000001,534.2700000000001,427.2
965.29,532.5699999999999,427.5
966.6300000000001,533.8900000000001,429.8
971.5500000000002,539.13,431.2
976.2000000000002,543.73,434.1
976.04,543.81,435.6
966.46,534.8399999999999,431.7
964.8299999999999,535.34,428.8
971.36,538.88,429.4
971.22,536.57,430.1
969.76,528.6199999999999,429.2
967.47,529.97,432.8
966.3,523.6499999999999,432.7
967.75,521.2300000000001,433.2
971.15,523.56,431.1
973.4800000000001,525.4300000000001,430.6
974.7300000000001,522.1899999999999,431.3
974.96,521.48,430.2
974.6699999999998,521.4499999999999,430.0
976.9100000000001,523.2,431.9
978.3,525.99,434.3
979.6899999999999,526.76,436.6
979.7400000000001,525.9399999999999,437.6
979.5699999999999,523.08,441.4
979.6300000000001,524.3,445.5
979.39,527.7600000000001,450.6
979.71,531.54,456.7
947.5600000000001,457.2299999999999,459.8
947.9499999999998,366.58000000000004,464.0
950.68,349.59999999999997,470.5
951.3299999999999,350.96,473.1
946.6899999999999,354.91999999999996,475.6
941.8499999999998,355.86,480.2
939.1600000000001,354.18,484.4
938.9,353.54,489.9
938.43,351.5,493.3
938.3599999999999,352.09,495.6
938.3699999999999,355.15,496.8
936.43,354.1,496.6
934.55,354.37,495.4
933.18,356.0400000000001,495.3
930.9,355.77,493.2
930.74,356.85,486.9
926.3,358.96999999999997,478.8
918.4199999999998,362.56,474.2
915.76,370.4,473.3
918.8999999999999,364.83,463.6
929.5799999999999,364.4,460.3
934.0900000000001,364.17,458.5
933.5,368.5,456.9
926.04,365.54,455.6
903.6299999999999,337.76,456.6
905.9900000000001,346.46999999999997,458.9
907.7199999999999,349.48999999999995,461.5
909.1899999999999,349.46,462.8
909.28,341.38,463.0
909.86,341.12,468.5
911.3399999999999,345.91999999999996,476.2
911.4199999999998,343.40999999999997,479.3
909.1899999999999,340.35,482.9
908.7400000000001,342.05,487.4
911.65,348.13,490.9
913.1899999999999,350.77000000000004,495.1
915.29,352.06,501.1
917.3699999999999,352.64,505.5
917.5999999999998,351.97,508.8
920.82,351.55,512.6
920.9199999999998,349.0,514.7
922.5400000000002,347.94,518.9
921.6700000000001,345.07000000000005,523.4
920.86,345.71,526.6
954.22,358.05,527.8
954.8199999999999,360.69,529.4
957.8,359.56000000000006,531.0
958.05,360.96999999999997,534.5
956.85,360.25,537.7
955.3100000000001,354.86,540.0
951.89,344.61,539.1
951.2300000000001,340.98999999999995,540.5
953.3899999999998,349.62,545.8
954.6200000000001,356.91999999999996,546.6
954.96,355.37,547.6
952.1999999999998,341.43,550.8
950.0600000000001,336.84000000000003,554.9
